GARE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
St-Amour;880000;1;476+236;cef9a698-dfb5-11e3-8eff-01a464e0362d;879093.9293000028;6594920.3429000005;5.332668478487735;46.43043805668582;46.43043805668582, 5.332668478487735;46.430438056670326, 5.332668478487737;"{""coordinates"": [5.332668478487737, 46.430438056670326], ""type"": ""Point""}"
St-Étienne-Pont-de-l'Âne;780000;1;002+245;51e32542-6665-11e3-afff-01f464e0362d;810115.0625;6484518.3259;4.408832013339441;45.451264539561066;45.451264539561066, 4.408832013339441;45.45126453954274, 4.408832013339443;"{""coordinates"": [4.408832013339443, 45.45126453954274], ""type"": ""Point""}"
Clermont-Ferrand;784000;1;003+974;cef1dba2-dfb5-11e3-8eff-01a464e0362d;711375.4302999973;6521470.4518;3.1464314118794348;45.79276119587239;45.79276119587239, 3.1464314118794348;45.79276119585505, 3.1464314118794348;"{""coordinates"": [3.146431411879435, 45.79276119585505], ""type"": ""Point""}"
Buzançais;594000;1;327+302;51ef51c8-6665-11e3-afff-01f464e0362d;579219.8885999992;6644504.832600001;1.4136346042693515;46.889802789018596;46.889802789018596, 1.4136346042693515;46.88980278900444, 1.4136346042693502;"{""coordinates"": [1.41363460426935, 46.88980278900444], ""type"": ""Point""}"
Dieupentale;640000;1;227+684;51e2da02-6665-11e3-afff-01f464e0362d;562589.4650999978;6306404.9837;1.2913486328072603;43.84327460777118;43.84327460777118, 1.2913486328072603;43.84327460774854, 1.2913486328072592;"{""coordinates"": [1.291348632807259, 43.84327460774854], ""type"": ""Point""}"
Pontailler-sur-Saône;851000;1;021+460;cef956ec-dfb5-11e3-8eff-01a464e0362d;881418.3518000022;6692571.902899999;5.401597665561621;47.30863711153994;47.30863711153994, 5.401597665561621;47.30863711152701, 5.401597665561622;"{""coordinates"": [5.401597665561622, 47.30863711152701], ""type"": ""Point""}"
Alixan-Châteauneuf-d'Isère;908000;1;011+156;51e8d33e-6665-11e3-afff-01f464e0362d;856289.3614000008;6435101.75;4.983502512490846;44.99747626245836;44.99747626245836, 4.983502512490846;44.99747626243876, 4.983502512490848;"{""coordinates"": [4.983502512490848, 44.99747626243876], ""type"": ""Point""}"
Schweighouse-sur-Moder;160000;1;032+911;51dfb444-6665-11e3-afff-01f464e0362d;1047481.7094999999;6869362.2916;7.736245699794192;48.83049898911973;48.83049898911973, 7.736245699794192;48.83049898909755, 7.736245699794195;"{""coordinates"": [7.736245699794195, 48.83049898909755], ""type"": ""Point""}"
Montry-Condé;071000;1;003+150;cef78a44-dfb5-11e3-8eff-01a464e0362d;687658.2272000015;6865468.3343;2.831690644532609;48.889109004309056;48.889109004309056, 2.831690644532609;48.88910900428716, 2.8316906445326087;"{""coordinates"": [2.831690644532609, 48.88910900428716], ""type"": ""Point""}"
Mirepeisset-Argeliers;734000;1;421+022;51e16960-6665-11e3-afff-01f464e0362d;693426.9487999976;6242883.578400001;2.9190634436152054;43.28509493999201;43.28509493999201, 2.9190634436152054;43.285094939968005, 2.9190634436152054;"{""coordinates"": [2.919063443615205, 43.285094939968005], ""type"": ""Point""}"
